Year,Month,Day,Extent,Missing,Hemisphere
1979,9,13,7.003,0,north
1979,9,15,7.007,0,north
1979,9,17,7.001,0,north
1979,9,19,6.91,0,north
1979,9,21,6.895,0,north
1979,9,23,7.033,0,north
1979,9,25,7.058,0,north
1979,9,27,7.127,0,north
1979,9,29,7.173,0,north
1979,10,1,7.404,0,north
1979,10,3,7.534,0,north
1979,10,5,7.813,0,north
1979,10,7,7.878,0,north
1979,10,9,8.115,0,north
1979,10,11,8.136,0,north
1979,10,13,8.338,0,north
1979,10,15,8.57,0,north
1979,10,17,8.938,0,north
1979,10,19,9.19,0,north
1979,10,21,9.295,0,north
1979,10,23,9.466,0,north
1979,10,25,9.7,0,north
1979,10,27,9.869,0,north
1979,10,29,9.797,0,north
1979,10,31,9.924,0,north
1979,11,2,10.144,0,north
1979,11,4,10.159,0,north
1979,11,6,10.267,0,north
1979,11,8,10.27,0,north
1979,11,10,10.497,0,north
1979,11,12,10.61,0,north
1979,11,14,10.8,0,north
1979,11,16,10.92,0,north
1979,11,18,11.01,0,north
1979,11,20,11.157,0,north
1979,11,22,11.352,0,north
1979,11,24,11.419,0,north
1979,11,26,11.581,0,north
1979,11,28,11.884,0,north
1979,11,30,12.076,0,north
1979,12,2,12.39,0,north
1979,12,4,12.462,0,north
1979,12,6,12.781,0,north
1979,12,8,12.991,0,north
1979,12,10,13.101,0,north
1979,12,12,13.292,0,north
1979,12,14,13.268,0,north
1979,12,16,13.322,0,north
1979,12,18,13.377,0,north
1979,12,20,13.541,0,north
1979,12,22,13.619,0,north
1979,12,24,13.773,0,north
1979,12,26,13.934,0,north
1979,12,28,14.101,0,north
1979,12,30,14.092,0,north
1980,1,1,14.2,0,north
1980,1,3,14.302,0,north
1980,1,5,14.414,0,north
1980,1,7,14.518,0,north
1980,1,9,14.594,0,north
1980,1,11,14.665,0,north
1980,1,13,14.771,0,north
1980,1,15,14.831,0,north
1980,1,17,14.957,0,north
1980,1,19,15.12,0,north
1980,1,21,15.141,0,north
1980,1,23,15.195,0,north
1980,1,25,15.209,0,north
1980,1,27,15.124,0,north
1980,1,29,15.258,0,north
1980,1,31,15.491,0,north
1980,2,2,15.401,0,north
1980,2,4,15.639,0,north
1980,2,6,15.76,0,north
1980,2,8,15.888,0,north
1980,2,10,15.895,0,north
1980,2,12,15.97,0,north
1980,2,14,16.017,0,north
1980,2,16,16.095,0,north
1980,2,18,16.095,0,north
1980,2,20,16.17,0,north
1980,2,22,16.066,0,north
1980,2,24,16.087,0,north
1980,2,26,16.069,0,north
1980,2,28,16.22,0,north
1980,3,1,16.157,0,north
1980,3,3,16.248,0,north
1980,3,5,16.302,0,north
1980,3,7,16.289,0,north
1980,3,9,16.168,0,north
1980,3,11,16.04,0,north
1980,3,13,15.966,0,north
1980,3,15,15.994,0,north
1980,3,17,15.988,0,north
1980,3,19,16.005,0,north
1980,3,21,15.946,0,north
1980,3,23,15.945,0,north
1980,3,25,15.923,0,north
1980,3,27,15.986,0,north
1980,3,29,15.891,0,north
1980,3,31,15.813,0,north
1980,4,2,15.681,0,north
1980,4,4,15.664,0,north
1980,4,6,15.707,0,north
1980,4,8,15.653,0,north
1980,4,10,15.644,0,north
1980,4,12,15.652,0,north
1980,4,14,15.523,0,north
1980,4,16,15.509,0,north
1980,4,18,15.39,0,north
1980,4,20,15.376,0,north
1980,4,22,15.406,0,north
1980,4,24,15.259,0,north
1980,4,26,15.117,0,north
1980,4,28,14.996,0,north
1980,4,30,14.859,0,north
1980,5,2,14.718,0,north
1980,5,4,14.549,0,north
1980,5,6,14.412,0,north
1980,5,8,14.32,0,north
1980,5,10,14.186,0,north
1980,5,12,14.011,0,north
1980,5,14,13.843,0,north
1980,5,16,13.757,0,north
1980,5,18,13.672,0,north
1980,5,20,13.531,0,north
1980,5,22,13.405,0,north
1980,5,24,13.34,0,north
1980,5,26,13.206,0,north
1980,5,28,13.023,0,north
1980,5,30,12.916,0,north
1980,6,1,12.766,0,north
1980,6,3,12.706,0,north
1980,6,5,12.614,0,north
1980,6,7,12.61,0,north
1980,6,9,12.586,0,north
1980,6,11,12.468,0,north
1980,6,13,12.278,0,north
1980,6,15,12.269,0,north
1980,6,17,12.13,0,north
1980,6,19,12.043,0,north
1980,6,21,12.007,0,north
1980,6,23,11.842,0,north
1980,6,25,11.699,0,north
1980,6,27,11.585,0,north
1980,6,29,11.466,0,north
1980,7,1,11.283,0,north
1980,7,3,11.075,0,north
1980,7,5,10.983,0,north
1980,7,7,10.852,0,north
1980,7,9,10.7,0,north
1980,7,11,10.575,0,north
1980,7,13,10.307,0,north
1980,7,15,10.203,0,north
1980,7,17,9.946,0,north
1980,7,19,9.847,0,north
1980,7,21,9.779,0,north
1980,7,23,9.594,0,north
1980,7,25,9.358,0,north
1980,7,27,9.166,0,north
1980,7,29,9.065,0,north
1980,7,31,8.868,0,north
1980,8,2,8.76,0,north
1980,8,4,8.611,0,north
1980,8,6,8.548,0,north
1980,8,8,8.348,0,north
1980,8,10,8.202,0,north
1980,8,12,8.041,0,north
1980,8,14,7.82,0,north
1980,8,16,7.765,0,north
1980,8,18,7.761,0,north
1980,8,20,7.717,0,north
1980,8,22,7.758,0,north
1980,8,24,7.578,0,north
1980,8,26,7.667,0,north
1980,8,28,7.588,0,north
1980,8,30,7.6,0,north
1980,9,1,7.544,0,north
1980,9,3,7.555,0,north
1980,9,5,7.533,0,north
1980,9,7,7.574,0,north
1980,9,9,7.56,0,north
1980,9,11,7.557,0,north
1980,9,13,7.543,0,north
1980,9,15,7.602,0,north
1980,9,17,7.58,0,north
1980,9,19,7.651,0,north
1980,9,21,7.686,0,north
1980,9,23,7.782,0,north
1980,9,25,7.854,0,north
1980,9,27,7.966,0,north
1980,9,29,8.019,0,north
1980,10,1,8.223,0,north
1980,10,3,8.213,0,north
1980,10,5,8.485,0,north
1980,10,7,8.532,0,north
1980,10,9,8.809,0,north
1980,10,11,8.975,0,north
1980,10,13,9.161,0,north
1980,10,15,9.218,0,north
1980,10,17,9.272,0,north
1980,10,19,9.389,0,north
1980,10,21,9.468,0,north
1980,10,23,9.586,0,north
1980,10,25,9.643,0,north
1980,10,27,9.841,0,north
1980,10,29,9.911,0,north
1980,10,31,10.198,0,north
1980,11,2,10.42,0,north
1980,11,4,10.523,0,north
1980,11,6,10.652,0,north
1980,11,8,10.789,0,north
1980,11,10,10.88,0,north
1980,11,12,10.976,0,north
1980,11,14,11.087,0,north
1980,11,16,11.217,0,north
1980,11,18,11.337,0,north
1980,11,20,11.628,0,north
1980,11,22,11.78,0,north
1980,11,24,12.096,0,north
1980,11,26,12.256,0,north
1980,11,28,12.476,0,north
1980,11,30,12.626,0,north
1980,12,2,12.643,0,north
1980,12,4,13.032,0,north
1980,12,6,13.122,0,north
1980,12,8,13.298,0,north
1980,12,10,13.334,0,north
1980,12,12,13.569,0,north
1980,12,14,13.685,0,north
1980,12,16,13.91,0,north
1980,12,18,13.762,0,north
1980,12,20,13.697,0,north
1980,12,22,13.779,0,north
1980,12,24,13.798,0,north
1980,12,26,14,0,north
1980,12,28,14.172,0,north
1980,12,30,14.093,0,north
1981,1,1,14.256,0,north
1981,1,3,14.456,0,north
1981,1,5,14.435,0,north
1981,1,7,14.689,0,north
1981,1,9,14.619,0,north
1981,1,11,14.69,0,north
1981,1,13,14.649,0,north
1981,1,15,14.748,0,north
1981,1,17,14.998,0,north
1981,1,19,15.066,0,north
1981,1,21,15.055,0,north
1981,1,23,15.17,0,north
1981,1,25,15.244,0,north
1981,1,27,15.35,0,north
1981,1,29,15.503,0,north
1981,1,31,15.627,0,north
1981,2,2,15.646,0,north
1981,2,4,15.663,0,north
1981,2,6,15.629,0,north
1981,2,8,15.541,0,north
1981,2,10,15.44,0,north
1981,2,12,15.474,0,north
1981,2,14,15.482,0,north
1981,2,16,15.575,0,north
1981,2,18,15.592,0,north
1981,2,20,15.731,0,north
1981,2,22,15.654,0,north
1981,2,24,15.706,0,north
1981,2,26,15.667,0,north
1981,2,28,15.657,0,north
1981,3,2,15.628,0,north
1981,3,4,15.726,0,north
1981,3,6,15.646,0,north
1981,3,8,15.644,0,north
1981,3,10,15.733,0,north
1981,3,12,15.657,0,north
1981,3,14,15.801,0,north
1981,3,16,15.771,0,north
1981,3,18,15.528,0,north
1981,3,20,15.621,0,north
1981,3,22,15.535,0,north
1981,3,24,15.559,0,north
1981,3,26,15.626,0,north
1981,3,28,15.517,0,north
1981,3,30,15.481,0,north
1981,4,1,15.44,0,north
1981,4,3,15.221,0,north
1981,4,5,15.224,0,north
1981,4,7,15.242,0,north
1981,4,9,15.202,0,north
1981,4,11,15.135,0,north
1981,4,13,15.11,0,north
1981,4,15,15.086,0,north
1981,4,17,14.983,0,north
1981,4,19,14.95,0,north
1981,4,21,14.92,0,north
1981,4,23,14.844,0,north
1981,4,25,14.714,0,north
1981,4,27,14.564,0,north
1981,4,29,14.514,0,north
1981,5,1,14.272,0,north
1981,5,3,14.285,0,north
1981,5,5,14.249,0,north
1981,5,7,14.077,0,north
1981,5,9,14.083,0,north
1981,5,11,14.072,0,north
1981,5,13,14.025,0,north
1981,5,15,13.928,0,north
1981,5,17,13.843,0,north
1981,5,19,13.752,0,north
1981,5,21,13.568,0,north
1981,5,23,13.464,0,north
1981,5,25,13.378,0,north
1981,5,27,13.333,0,north
1981,5,29,13.275,0,north
1981,5,31,13.222,0,north
1981,6,2,13.059,0,north
1981,6,4,13.002,0,north
1981,6,6,12.954,0,north
1981,6,8,12.863,0,north
1981,6,10,12.721,0,north
1981,6,12,12.652,0,north
1981,6,14,12.487,0,north
1981,6,16,12.465,0,north
1981,6,18,12.364,0,north
1981,6,20,12.216,0,north
1981,6,22,12.064,0,north
1981,6,24,12.003,0,north
1981,6,26,12.013,0,north
1981,6,28,11.796,0,north
1981,6,30,11.787,0,north
1981,7,2,11.428,0,north
1981,7,4,11.33,0,north
1981,7,6,11.181,0,north
1981,7,8,11.022,0,north
1981,7,10,10.894,0,north
1981,7,12,10.691,0,north
1981,7,14,10.643,0,north
1981,7,16,10.354,0,north
1981,7,18,10.127,0,north
1981,7,20,9.826,0,north
1981,7,22,9.788,0,north
1981,7,24,9.538,0,north
1981,7,26,9.22,0,north
1981,7,28,9.106,0,north
1981,7,30,8.917,0,north
1981,8,1,8.733,0,north
1981,8,3,8.587,0,north
1981,8,5,8.326,0,north
1981,8,7,8.176,0,north
1981,8,9,8,0,north
1981,8,11,7.917,0,north
1981,8,13,7.883,0,north
1981,8,15,7.804,0,north
1981,8,17,7.724,0,north
1981,8,19,7.667,0,north
1981,8,21,7.593,0,north
1981,8,23,7.53,0,north
1981,8,25,7.495,0,north
1981,8,27,7.408,0,north
1981,8,29,7.296,0,north
1981,8,31,7.37,0,north
1981,9,2,7.203,0,north
1981,9,4,7.162,0,north
1981,9,6,6.992,0,north
1981,9,8,7.046,0,north
1981,9,10,6.902,0,north
1981,9,12,6.904,0,north
1981,9,14,6.952,0,north
1981,9,16,6.951,0,north
1981,9,18,7.002,0,north
1981,9,20,7.053,0,north
1981,9,22,7.231,0,north
1981,9,24,7.261,0,north
1981,9,26,7.303,0,north
1981,9,28,7.489,0,north
1981,9,30,7.626,0,north
1981,10,2,7.987,0,north
1981,10,4,8.087,0,north
1981,10,6,8.151,0,north
1981,10,8,8.354,0,north
1981,10,10,8.416,0,north
1981,10,12,8.63,0,north
1981,10,14,8.904,0,north
1981,10,16,9.037,0,north
1981,10,18,9.062,0,north
1981,10,20,9.134,0,north
1981,10,22,9.096,0,north
1981,10,24,9.233,0,north
1981,10,26,9.425,0,north
1981,10,28,9.609,0,north
1981,10,30,9.719,0,north
1981,11,1,9.905,0,north
1981,11,3,9.929,0,north
1981,11,5,10.337,0,north
1981,11,7,10.518,0,north
1981,11,9,10.51,0,north
1981,11,11,10.631,0,north
1981,11,13,10.908,0,north
1981,11,15,10.965,0,north
1981,11,17,11.197,0,north
1981,11,19,11.177,0,north
1981,11,21,11.273,0,north
1981,11,23,11.417,0,north
1981,11,25,11.611,0,north
1981,11,27,11.675,0,north
1981,11,29,11.882,0,north
1981,12,1,11.99,0,north
1981,12,3,12.336,0,north
1981,12,5,12.507,0,north
1981,12,7,12.698,0,north
1981,12,9,12.816,0,north
1981,12,11,12.948,0,north
1981,12,13,13.217,0,north
1981,12,15,13.418,0,north
1981,12,17,13.635,0,north
1981,12,19,13.802,0,north
1981,12,21,13.893,0,north
1981,12,23,13.877,0,north
1981,12,25,14.016,0,north
1981,12,27,13.953,0,north
1981,12,29,14.128,0,north
1981,12,31,14.224,0,north
1982,1,2,14.479,0,north
1982,1,4,14.642,0,north
1982,1,6,14.88,0,north
1982,1,8,14.993,0,north
1982,1,10,15.052,0,north
1982,1,12,15.141,0,north
1982,1,14,15.138,0,north
1982,1,16,15.22,0,north
1982,1,18,15.227,0,north
1982,1,20,15.208,0,north
1982,1,22,15.283,0,north
1982,1,24,15.391,0,north
1982,1,26,15.547,0,north
1982,1,28,15.695,0,north
1982,1,30,15.755,0,north
1982,2,1,15.836,0,north
1982,2,3,15.841,0,north
1982,2,5,15.85,0,north
1982,2,7,15.797,0,north
1982,2,9,15.829,0,north
1982,2,11,15.748,0,north
1982,2,13,15.854,0,north
1982,2,15,15.857,0,north
1982,2,17,16.058,0,north
1982,2,19,16.087,0,north
1982,2,21,16.094,0,north
1982,2,23,16.143,0,north
1982,2,25,16.31,0,north
1982,2,27,16.325,0,north
1982,3,1,16.234,0,north
1982,3,3,16.293,0,north
1982,3,5,16.315,0,north
1982,3,7,16.309,0,north
1982,3,9,16.123,0,north
1982,3,11,16.099,0,north
1982,3,13,16.005,0,north
1982,3,15,15.955,0,north
1982,3,17,15.905,0,north
1982,3,19,15.938,0,north
1982,3,21,15.911,0,north
1982,3,23,15.898,0,north
1982,3,25,15.929,0,north
1982,3,27,15.875,0,north
1982,3,29,15.931,0,north
1982,3,31,15.982,0,north
1982,4,2,15.945,0,north
1982,4,4,15.943,0,north
1982,4,6,15.859,0,north
1982,4,8,15.581,0,north
1982,4,10,15.577,0,north
1982,4,12,15.491,0,north
1982,4,14,15.627,0,north
1982,4,16,15.528,0,north
1982,4,18,15.448,0,north
1982,4,20,15.387,0,north
1982,4,22,15.276,0,north
1982,4,24,15.135,0,north
1982,4,26,15.105,0,north
1982,4,28,15.091,0,north
1982,4,30,14.997,0,north
1982,5,2,14.786,0,north
1982,5,4,14.679,0,north
1982,5,6,14.511,0,north
1982,5,8,14.319,0,north
1982,5,10,14.222,0,north
1982,5,12,14.137,0,north
1982,5,14,14.083,0,north
1982,5,16,14.003,0,north
1982,5,18,13.853,0,north
1982,5,20,13.653,0,north
1982,5,22,13.576,0,north
1982,5,24,13.583,0,north
1982,5,26,13.543,0,north
1982,5,28,13.38,0,north
1982,5,30,13.27,0,north
1982,6,1,13.091,0,north
1982,6,3,12.99,0,north
1982,6,5,12.874,0,north
1982,6,7,12.834,0,north
1982,6,9,12.75,0,north
1982,6,11,12.709,0,north
1982,6,13,12.678,0,north
1982,6,15,12.652,0,north
1982,6,17,12.476,0,north
1982,6,19,12.317,0,north
1982,6,21,12.145,0,north
1982,6,23,12.079,0,north
1982,6,25,11.918,0,north
1982,6,27,11.868,0,north
1982,6,29,11.76,0,north
1982,7,1,11.425,0,north
1982,7,3,11.442,0,north
1982,7,5,11.344,0,north
1982,7,7,11.165,0,north
1982,7,9,11.043,0,north
1982,7,11,10.816,0,north
1982,7,13,10.664,0,north
1982,7,15,10.436,0,north
1982,7,17,10.264,0,north
1982,7,19,10.179,0,north
1982,7,21,10.022,0,north
1982,7,23,9.782,0,north
1982,7,25,9.638,0,north
1982,7,27,9.417,0,north
1982,7,29,9.22,0,north
1982,7,31,9.016,0,north
1982,8,2,8.939,0,north
1982,8,4,8.746,0,north
1982,8,6,8.672,0,north
1982,8,8,8.45,0,north
1982,8,10,8.437,0,north
1982,8,12,8.366,0,north
1982,8,14,8.152,0,north
1982,8,16,8.008,0,north
1982,8,18,8.027,0,north
1982,8,20,7.915,0,north
1982,8,22,7.79,0,north
1982,8,24,7.759,0,north
1982,8,26,7.7,0,north
1982,8,28,7.582,0,north
1982,8,30,7.55,0,north
1982,9,1,7.404,0,north
1982,9,3,7.248,0,north
1982,9,5,7.233,0,north
1982,9,7,7.182,0,north
1982,9,9,7.18,0,north
1982,9,11,7.173,0,north
1982,9,13,7.16,0,north
1982,9,15,7.196,0,north
1982,9,17,7.197,0,north
1982,9,19,7.224,0,north
1982,9,21,7.329,0,north
1982,9,23,7.422,0,north
1982,9,25,7.417,0,north
1982,9,27,7.495,0,north
1982,9,29,7.666,0,north
1982,10,1,7.768,0,north
1982,10,3,8.016,0,north
1982,10,5,8.184,0,north
1982,10,7,8.331,0,north
1982,10,9,8.875,0,north
1982,10,11,9.179,0,north
1982,10,13,9.429,0,north
1982,10,15,9.608,0,north
1982,10,17,9.797,0,north
1982,10,19,9.836,0,north
1982,10,21,9.847,0,north
1982,10,23,10.067,0,north
1982,10,25,10.198,0,north
1982,10,27,10.423,0,north
1982,10,29,10.564,0,north
1982,10,31,10.615,0,north
1982,11,2,10.817,0,north
1982,11,4,10.893,0,north
1982,11,6,11.131,0,north
1982,11,8,11.03,0,north
1982,11,10,11.203,0,north
1982,11,12,11.348,0,north
1982,11,14,11.573,0,north
1982,11,16,11.792,0,north
1982,11,18,11.774,0,north
1982,11,20,11.698,0,north
1982,11,22,11.854,0,north
1982,11,24,11.929,0,north
1982,11,26,12.192,0,north
1982,11,28,12.483,0,north
1982,11,30,12.695,0,north
1982,12,2,12.822,0,north
1982,12,4,12.866,0,north
1982,12,6,12.963,0,north
1982,12,8,13.223,0,north
1982,12,10,13.351,0,north
1982,12,12,13.503,0,north
1982,12,14,13.606,0,north
1982,12,16,13.84,0,north
1982,12,18,13.895,0,north
1982,12,20,14.016,0,north
1982,12,22,13.963,0,north
1982,12,24,14.093,0,north
1982,12,26,14.183,0,north
1982,12,28,14.144,0,north
1982,12,30,14.159,0,north
1983,1,1,14.253,0,north
1983,1,3,14.306,0,north
1983,1,5,14.494,0,north
1983,1,7,14.467,0,north
1983,1,9,14.615,0,north
1983,1,11,14.648,0,north
1983,1,13,14.622,0,north
1983,1,15,14.916,0,north
1983,1,17,15.014,0,north
1983,1,19,15.052,0,north
1983,1,21,15.314,0,north
1983,1,23,15.396,0,north
1983,1,25,15.347,0,north
1983,1,27,15.401,0,north
1983,1,29,15.554,0,north
1983,1,31,15.68,0,north
1983,2,2,15.737,0,north
1983,2,4,15.719,0,north
1983,2,6,15.695,0,north
1983,2,8,15.822,0,north
1983,2,10,15.791,0,north
1983,2,12,15.999,0,north
1983,2,14,16.056,0,north
1983,2,16,15.971,0,north
1983,2,18,16.056,0,north
1983,2,20,16.167,0,north
1983,2,22,16.238,0,north
1983,2,24,16.28,0,north
1983,2,26,16.352,0,north
1983,2,28,16.203,0,north
1983,3,2,16.049,0,north
1983,3,4,15.958,0,north
1983,3,6,15.971,0,north
1983,3,8,16.101,0,north
1983,3,10,16.172,0,north
1983,3,12,16.349,0,north
1983,3,14,16.412,0,north
1983,3,16,16.214,0,north
1983,3,18,16.069,0,north
1983,3,20,16.212,0,north
1983,3,22,16.057,0,north
1983,3,24,15.976,0,north
1983,3,26,15.964,0,north
1983,3,28,15.926,0,north
1983,3,30,15.849,0,north
1983,4,1,15.886,0,north
1983,4,3,15.914,0,north
1983,4,5,15.734,0,north
1983,4,7,15.706,0,north
1983,4,9,15.528,0,north
1983,4,11,15.574,0,north
1983,4,13,15.317,0,north
1983,4,15,15.145,0,north
1983,4,17,15.063,0,north
1983,4,19,14.839,0,north
1983,4,21,14.819,0,north
1983,4,23,14.695,0,north
1983,4,25,14.553,0,north
1983,4,27,14.442,0,north
1983,4,29,14.366,0,north
1983,5,1,14.045,0,north
1983,5,3,13.929,0,north
1983,5,5,13.935,0,north
1983,5,7,13.787,0,north
1983,5,9,13.703,0,north
1983,5,11,13.64,0,north
1983,5,13,13.587,0,north
1983,5,15,13.502,0,north
1983,5,17,13.433,0,north
1983,5,19,13.319,0,north
1983,5,21,13.313,0,north
1983,5,23,13.27,0,north
1983,5,25,13.209,0,north
1983,5,27,13.132,0,north
1983,5,29,13.052,0,north
1983,5,31,13.005,0,north
1983,6,2,12.837,0,north
1983,6,4,12.764,0,north
1983,6,6,12.69,0,north
1983,6,8,12.59,0,north
1983,6,10,12.54,0,north
1983,6,12,12.412,0,north
1983,6,14,12.311,0,north
1983,6,16,12.276,0,north
1983,6,18,12.146,0,north
1983,6,20,12.16,0,north
1983,6,22,12.111,0,north
1983,6,24,11.965,0,north
1983,6,26,11.989,0,north
1983,6,28,11.896,0,north
1983,6,30,11.748,0,north
1983,7,2,11.515,0,north
1983,7,4,11.398,0,north
1983,7,6,11.261,0,north
1983,7,8,11.233,0,north
1983,7,10,11.108,0,north
1983,7,12,11.088,0,north
1983,7,14,10.913,0,north
1983,7,16,10.767,0,north
1983,7,18,10.491,0,north
1983,7,20,10.214,0,north
1983,7,22,10.076,0,north
1983,7,24,9.911,0,north
1983,7,26,9.655,0,north
1983,7,28,9.56,0,north
1983,7,30,9.364,0,north
1983,8,1,9.224,0,north
1983,8,3,9.046,0,north
1983,8,5,8.935,0,north
1983,8,7,8.731,0,north
1983,8,9,8.638,0,north
1983,8,11,8.46,0,north
1983,8,13,8.32,0,north
1983,8,15,8.073,0,north
1983,8,17,7.948,0,north
1983,8,19,7.899,0,north
1983,8,21,7.903,0,north
1983,8,23,7.777,0,north
1983,8,25,7.639,0,north
1983,8,27,7.534,0,north
1983,8,29,7.445,0,north
1983,8,31,7.402,0,north
1983,9,2,7.321,0,north
1983,9,4,7.314,0,north
1983,9,6,7.243,0,north
1983,9,8,7.204,0,north
1983,9,10,7.238,0,north
1983,9,12,7.305,0,north
1983,9,14,7.246,0,north
1983,9,16,7.261,0,north
1983,9,18,7.322,0,north
1983,9,20,7.499,0,north
1983,9,22,7.412,0,north
1983,9,24,7.425,0,north
1983,9,26,7.519,0,north
1983,9,28,7.731,0,north
1983,9,30,7.879,0,north
1983,10,2,8.143,0,north
1983,10,4,8.38,0,north
1983,10,6,8.638,0,north
1983,10,8,8.774,0,north
1983,10,10,8.943,0,north
1983,10,12,9.123,0,north
1983,10,14,9.205,0,north
1983,10,16,9.453,0,north
1983,10,18,9.585,0,north
1983,10,20,9.673,0,north
1983,10,22,9.878,0,north
1983,10,24,10.085,0,north
1983,10,26,9.558,0,north
1983,10,28,10.259,0,north
1983,10,30,10.314,0,north
1983,11,1,10.549,0,north
1983,11,3,10.737,0,north
1983,11,5,10.883,0,north
1983,11,7,10.84,0,north
1983,11,9,10.956,0,north
1983,11,11,11.172,0,north
1983,11,13,11.322,0,north
1983,11,15,11.473,0,north
1983,11,17,11.635,0,north
1983,11,19,11.802,0,north
1983,11,21,11.9,0,north
1983,11,23,11.934,0,north
1983,11,25,12.167,0,north
1983,11,27,12.208,0,north
